Category,Item,Tokyo (JPY),Osaka (JPY),Nagoya (JPY),Fukuoka (JPY),Sapporo (JPY),Japan (Country Avg) (JPY)
Restaurants,Meal at an Inexpensive Restaurant,1175.00,1000.00,1250.00,1250.00,815.00,1000.00
Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",6550.00,5000.00,5000.00,8000.00,4500.00,5250.00
Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),800.00,700.00,800.00,850.00,850.00,800.00
Restaurants,Domestic Draft Beer (0.5 Liter),500.00,425.00,500.00,420.00,550.00,500.00
Restaurants,Imported Beer (0.33 Liter Bottle),800.00,650.00,375.00,450.00,925.00,600.00
Restaurants,Cappuccino (Regular Size),508.27,487.50,400.00,537.50,495.00,485.38
Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",190.47,201.11,166.00,157.25,134.00,166.82
Restaurants,Bottled Water (0.33 Liter),121.74,108.89,116.00,108.33,114.00,116.00
Markets,"Milk (Regular, 1 Liter)",228.06,222.22,238.33,249.67,251.41,225.77
Markets,Fresh White Bread (500 g Loaf),210.59,210.24,198.00,273.11,218.50,221.66
Markets,White Rice (1 kg),901.33,900.00,587.50,1000.00,550.00,737.51
Markets,"Eggs (12, Large Size)",357.53,336.86,342.00,356.87,276.19,322.72
Markets,Local Cheese (1 kg),1878.33,1520.46,2500.00,2662.18,1500.00,1728.62
Markets,Chicken Fillets (1 kg),1187.89,978.57,1025.00,863.27,1100.00,1004.11
Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),3292.81,2880.00,4650.00,3000.00,,2819.48
Markets,Apples (1 kg),768.12,518.17,1300.00,575.00,500.00,771.38
Markets,Bananas (1 kg),371.89,310.14,466.67,225.00,488.46,388.99
Markets,Oranges (1 kg),705.18,366.67,700.00,450.00,,674.34
Markets,Tomatoes (1 kg),862.79,637.50,1066.67,527.00,676.91,683.09
Markets,Potatoes (1 kg),496.27,242.67,566.67,375.00,338.46,417.74
Markets,Onions (1 kg),503.28,182.67,575.00,464.63,269.23,407.37
Markets,Lettuce (1 Head),203.20,195.00,182.50,141.67,244.23,200.84
Markets,Bottled Water (1.5 Liter),128.77,127.50,144.00,133.33,74.00,135.13
Markets,Bottle of Wine (Mid-Range),1500.00,1500.00,1500.00,1000.00,,1400.00
Markets,Domestic Beer (0.5 Liter Bottle),292.32,301.76,405.98,275.76,300.00,310.94
Markets,Imported Beer (0.33 Liter Bottle),419.29,425.00,336.00,300.00,500.00,410.68
Markets,"Cigarettes (Pack of 20, Marlboro)",610.00,620.00,620.00,620.00,620.00,620.00
Transportation,One-Way Ticket (Local Transport),210.00,240.00,255.00,280.00,250.00,225.00
Transportation,Monthly Public Transport Pass (Regular Price),12000.00,5150.00,10000.00,6085.00,7500.00,8251.67
Transportation,Taxi Start (Standard Tariff),500.00,650.00,500.00,670.00,655.00,585.00
Transportation,Taxi 1 km (Standard Tariff),500.00,300.00,450.00,325.00,260.00,485.00
Transportation,Taxi 1 Hour Waiting (Standard Tariff),2940.00,3400.00,2500.00,2825.00,3000.00,3099.90
Transportation,Gasoline (1 Liter),176.29,173.36,173.65,174.60,172.07,173.89
Transportation,Volkswagen Golf 1.5 (or Equivalent New Compact Car),3410000.00,3388000.00,3434000.00,3434000.00,3434000.00,3434000.00
Transportation,Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),2401938.46,2376800.00,2407300.00,2765840.00,2372900.00,2443690.48
Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",24795.00,20645.83,18333.33,31285.98,53126.25,24874.63
Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",3682.22,3266.67,3710.00,3920.20,4080.00,3890.20
Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",4693.75,4325.00,4925.00,5155.00,7500.00,5171.46
Sports And Leisure,Monthly Fitness Club Membership,10693.18,8916.67,8066.67,8500.00,7800.00,8543.31
Sports And Leisure,"Tennis Court Rental (1 Hour, Weekend)",4277.27,2916.67,2166.67,500.00,1650.00,2971.43
Sports And Leisure,Cinema Ticket (International Release),2000.00,1900.00,1800.00,2000.00,1900.00,1900.00
Childcare,"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",169564.06,81614.28,90532.74,20000.00,39800.00,83674.96
Childcare,"International Primary School, Annual Tuition per Child",2537222.22,2066666.67,2325333.33,1925500.00,1600000.00,1921666.06
Clothing And Shoes,Jeans (Levi's 501 or Similar),7936.84,6604.98,7360.00,8000.00,6000.00,6773.42
Clothing And Shoes,Summer Dress in a Chain Store (e.g. Zara or H&M),5678.64,4250.00,5666.67,5231.67,3995.00,4573.25
Clothing And Shoes,Nike Running Shoes (Mid-Range),8485.76,10810.60,8250.00,10500.00,7500.00,8960.17
Clothing And Shoes,Men's Leather Business Shoes,12807.69,14181.22,15500.00,8750.00,18333.33,12805.77
Rent Per Month,1 Bedroom Apartment in City Centre,184084.21,112000.00,82920.00,84278.00,72000.00,87447.17
Rent Per Month,1 Bedroom Apartment Outside of City Centre,101866.67,84000.00,55800.00,52100.00,44000.00,57587.67
Rent Per Month,3 Bedroom Apartment in City Centre,331380.95,259600.00,211333.33,166666.67,130000.00,202121.47
Rent Per Month,3 Bedroom Apartment Outside of City Centre,195094.70,126056.14,123333.33,106666.67,100000.00,116926.55
Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,1713437.98,966333.33,260000.00,1013866.67,350000.00,959095.36
Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,797166.67,329500.00,175000.00,428666.67,250000.00,484208.29
Salaries And Financing,Average Monthly Net Salary (After Tax),408799.02,324141.34,290146.00,249389.76,253718.66,311847.97
Salaries And Financing,"Annual Mortgage Interest Rate (20-Year Fixed, in %)",1.70,2.05,2.02,1.86,2.08,1.97
